binary_tox,capitalized letters,character count,cleaner_text,comment_text,compound,identity_hate,insult,lemmatized_text,lgbtq hate,misogynist words,neg,neu,neutral,obscene,pos,racial_ethnic slurs,severe_toxic,special characters,swear words,threat,toxic,word count
0,4,148,"autoblock   Look closer - I'm obviously not blocked, but my IP address at home is, due to an admin accidentally blocking me (look at the block log).","autoblock 

Look closer - I'm obviously not blocked, but my IP address at home is, due to an admin accidentally blocking me (look at the block log).",-0.8733,0,0,"autoblock Look closer - 'm obviously blocked , IP address home , admin accidentally blocking ( look block log ) .",0,0,0.307,0.652,1,0,0.042,0,0,7,0,0,0,27
0,3,199,"Good to know. I visited your talk page wanting to comment, but without looking around extensively at what you've been doing, so please excuse any sense that I'm commenting to the choir, as it were...","Good to know. I visited your talk page wanting to comment, but without looking around extensively at what you've been doing, so please excuse any sense that I'm commenting to the choir, as it were...",0.7785,0,0,"Good know . visited talk page wanting comment , looking extensively 've , excuse sense 'm commenting choir , ...",0,0,0.0,0.799,1,0,0.201,0,0,9,0,0,0,35
1,4,129,"You should block all IP addresses forever, preventing new users from signing up. That's what assholes like you want to do anyway.","You should block all IP addresses forever, preventing new users from signing up. That's what assholes like you want to do anyway.",-0.6124,0,1,"deflect IP cover forever , foreclose new exploiter sign . 's arsehole care want .",0,0,0.273,0.594,0,0,0.133,0,0,4,2,0,1,22
1,17,232,Would someone tell the schmuck who continually refers to Ohio State as THE Ohio State University that he is incorrect.  The only people who use this term are the arrogant fans and alumni of OSUthus that makes it a violation of NPOV.,Would someone tell the schmuck who continually refers to Ohio State as THE Ohio State University that he is incorrect.  The only people who use this term are the arrogant fans and alumni of OSUthus that makes it a violation of NPOV.,-0.7506,0,0,say shmo continually bring_up Ohio submit OH state university wrong . people exercise term arrogant rooter alum OSUthus get_to intrusion NPOV .,0,0,0.141,0.8590000000000001,0,0,0.0,0,0,2,0,0,1,42
0,3,25,"Gun Powder Ma]] 09:45, 30","Gun Powder Ma]] 09:45, 30",-0.34,0,0,"Gun Powder ] ] 09:45 , 30",0,0,0.375,0.625,1,0,0.0,0,0,4,0,0,0,5
1,2,46,Sucker   You suck the di*k of chicken fuc*ers.,"Sucker 

You suck the di*k of chicken fuc*ers.",-0.743,0,1,sucker wet-nurse di*k chicken fuc*ers .,0,0,0.512,0.488,0,1,0.0,0,1,3,0,0,1,8
0,21,896,"Actually the original definition was there long ago, and was not my invention. As for the ongoing observation that Christians do wrong every time they breath, let me note that Samuel Sandmel was Jewish and the concept has also been used by Jewish scholars. But I am not really sure how to continue the discussion given that it seems to be as much about the inherent faults of the Christian mindset (which I think has no relevance here) vs the topic at hand. Regarding the Osiris myth I think you have also been unhappy about that page, although it is FA. I have now explained the Jung issues, and the scholarly consensus about the category is clear. I think what can be done is to follow the middle ground between what the encyclopedia of psychology and religion and the handbook of Archetypes and motifs do, because they are overviews. That may be the best way to get the scholarly issues there.","Actually the original definition was there long ago, and was not my invention. As for the ongoing observation that Christians do wrong every time they breath, let me note that Samuel Sandmel was Jewish and the concept has also been used by Jewish scholars. But I am not really sure how to continue the discussion given that it seems to be as much about the inherent faults of the Christian mindset (which I think has no relevance here) vs the topic at hand. Regarding the Osiris myth I think you have also been unhappy about that page, although it is FA. I have now explained the Jung issues, and the scholarly consensus about the category is clear. I think what can be done is to follow the middle ground between what the encyclopedia of psychology and religion and the handbook of Archetypes and motifs do, because they are overviews. That may be the best way to get the scholarly issues there.",-0.0203,0,0,"Actually original definition long ago , invention . ongoing observation Christians wrong time breath , let note Samuel Sandmel Jewish concept used Jewish scholar . really sure continue discussion given inherent fault Christian mindset ( think relevance ) v topic hand . Regarding Osiris myth think unhappy page , FA . explained Jung issue , scholarly consensus category clear . think follow middle ground encyclopedia psychology religion handbook Archetypes motif , overview . best way scholarly issue .",0,0,0.077,0.851,1,0,0.071,0,0,14,0,0,0,161
0,13,44,I STILL GIVE UP . Get a better life you two.,I STILL GIVE UP . Get a better life you two.,0.4404,0,0,. better life .,0,0,0.0,0.7070000000000001,1,0,0.293,0,0,2,0,0,0,11
0,4,142,"""   Rangeblock you did   User_talk:64.229.29.190 is asking for an unblock, which was under this range block.  Could you look into it?  (Ni!) ""","""

 Rangeblock you did 

User_talk:64.229.29.190 is asking for an unblock, which was under this range block.  Could you look into it?  (Ni!) """,-0.4926,0,0,"`` Rangeblock User_talk:64.229.29.190 asking unblock , range block . look ? ( Ni ! ) ``",0,0,0.138,0.862,1,0,0.0,0,0,12,0,0,0,23
1,9,250,""" Saying """"don't be snitty"""" is not a personal attack. It is a defense from YOUR personal attack against me.  Now me telling you that you are a pussy and need to grow some balls, now that is a personal attack.  I hope you enjoy it as much I did. -  ""","""
Saying """"don't be snitty"""" is not a personal attack. It is a defense from YOUR personal attack against me.

Now me telling you that you are a pussy and need to grow some balls, now that is a personal attack.  I hope you enjoy it as much I did. -  """,0.9226,0,0,"`` pronounce `` `` n't snitty `` `` personal attack . defence personal flak . severalize puss want develop glob , personal assault . trust enjoy . - ``",0,0,0.0,0.708,0,0,0.292,0,0,13,0,0,1,52
